                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.36685,                0.27738,                0.86776,                0.98348,                      1,                0.98496,                0.93704,                0.33678,                0.26026,                0.74249,              0.0006338,              0.0006338,              0.0006338
                     72,                0.36632,                0.26832,                0.86124,                0.98365,                      1,                0.98426,                0.92569,                0.34484,                0.26046,                0.74544,               0.000614,               0.000614,               0.000614
                     73,                0.38011,                0.28036,                0.87129,                0.98362,                      1,                0.98736,                0.92544,                0.36802,                0.26268,                0.75236,              0.0005942,              0.0005942,              0.0005942
                     74,                0.37258,                0.27165,                0.87413,                0.98354,                      1,                0.98816,                0.93272,                0.34879,                0.25844,                0.74702,              0.0005744,              0.0005744,              0.0005744
                     75,                0.37009,                0.27313,                0.86695,                0.98367,                      1,                0.98973,                0.92981,                0.36004,                0.26978,                0.74831,              0.0005546,              0.0005546,              0.0005546
                     76,                0.36707,                0.26867,                0.87413,                0.98379,                      1,                0.98615,                0.93025,                0.34346,                0.26661,                0.74343,              0.0005348,              0.0005348,              0.0005348
                     77,                0.36983,                0.27058,                0.85779,                 0.9835,                      1,                0.99098,                 0.9347,                0.34343,                0.25204,                0.74204,               0.000515,               0.000515,               0.000515
                     78,                0.37403,                0.27151,                0.87897,                0.98388,                      1,                0.99197,                0.93033,                0.35095,                 0.2451,                0.74294,              0.0004952,              0.0004952,              0.0004952
                     79,                0.37308,                0.28117,                0.87018,                 0.9839,                      1,                 0.9927,                0.93096,                0.36145,                0.25136,                0.74703,              0.0004754,              0.0004754,              0.0004754
                     80,                0.36346,                0.26973,                0.87091,                0.98388,                      1,                0.99167,                0.93158,                0.34498,                0.24541,                 0.7457,              0.0004556,              0.0004556,              0.0004556
                     81,                 0.3639,                0.26158,                 0.8685,                0.98388,                      1,                0.98841,                0.93269,                0.34164,                0.24772,                0.74467,              0.0004358,              0.0004358,              0.0004358
                     82,                0.35932,                0.25897,                0.86433,                0.98385,                      1,                0.98912,                0.93418,                0.34571,                0.24909,                 0.7449,               0.000416,               0.000416,               0.000416
                     83,                0.34909,                0.26171,                 0.8552,                 0.9835,                      1,                0.98857,                0.93705,                0.34879,                0.24893,                0.74753,              0.0003962,              0.0003962,              0.0003962
                     84,                0.34945,                0.25759,                0.86104,                0.98341,                      1,                0.98395,                0.93404,                0.32843,                0.24642,                  0.745,              0.0003764,              0.0003764,              0.0003764
                     85,                0.33545,                0.24804,                0.86141,                0.98363,                      1,                0.98347,                0.93353,                0.33008,                0.24213,                0.74562,              0.0003566,              0.0003566,              0.0003566
                     86,                0.33791,                0.24956,                0.85968,                0.98388,                      1,                 0.9852,                0.93009,                0.34757,                0.24807,                0.74506,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.3425,                0.24796,                0.85702,                0.98388,                      1,                  0.987,                0.93047,                 0.3384,                0.23884,                 0.7421,               0.000317,               0.000317,               0.000317
                     88,                 0.3456,                0.24724,                0.86811,                0.98388,                      1,                0.99035,                0.93887,                 0.3256,                0.23233,                0.73679,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.3323,                0.24136,                0.84894,                0.98387,                      1,                0.99272,                0.93938,                0.33039,                0.22777,                 0.7356,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.3356,                0.24191,                0.85228,                0.98386,                      1,                0.99286,                0.94161,                0.32659,                0.22962,                0.73675,              0.0002576,              0.0002576,              0.0002576
                     91,                0.28099,                0.22217,                0.81357,                0.98389,                      1,                0.99235,                0.94196,                0.32304,                0.23189,                0.73521,              0.0002378,              0.0002378,              0.0002378
                     92,                0.27074,                0.20682,                0.81193,                 0.9839,                      1,                0.99127,                0.93392,                 0.3372,                0.24076,                0.73626,               0.000218,               0.000218,               0.000218
                     93,                0.26877,                0.20751,                0.80285,                0.98389,                      1,                0.99262,                0.93719,                0.33949,                0.24708,                0.73775,              0.0001982,              0.0001982,              0.0001982
                     94,                0.27071,                0.20519,                0.80288,                0.98387,                      1,                0.99266,                0.94588,                0.33445,                0.24145,                0.73666,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.2644,                0.19924,                0.80884,                0.98385,                      1,                0.99193,                0.94408,                0.31722,                0.22869,                0.73191,              0.0001586,              0.0001586,              0.0001586
                     96,                0.26698,                0.20103,                0.80401,                0.98384,                      1,                0.98981,                 0.9454,                0.31224,                0.22941,                0.73098,              0.0001388,              0.0001388,              0.0001388
                     97,                0.26713,                0.20035,                 0.8073,                0.98384,                      1,                0.98682,                0.93532,                0.32694,                0.22873,                0.73435,               0.000119,               0.000119,               0.000119
                     98,                0.26264,                0.20075,                0.80139,                0.98382,                      1,                0.98532,                0.93298,                0.33116,                0.23018,                0.73752,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.26373,                0.19555,                0.80392,                 0.9838,                      1,                0.98566,                 0.9406,                0.32353,                0.22978,                0.73778,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.25991,                0.19332,                0.80229,                0.98382,                      1,                0.98773,                0.94559,                0.31712,                0.22847,                0.73798,               5.96e-05,               5.96e-05,               5.96e-05
